id,status_1,created_by,criticality,created_on,ci_number,name_1,updated_by,soft_delete_id,version,icon_name,updated_on,asset_id,color,ci_number_fx_rev,room,model,building,serial_number,manufacturer,operating_system,university_owned_,uanet_id,machine_name,warranty_type,lab_computer,date_warranty_expires,date_shipped,owned_by,building_list,accidental_damage
11002,Deployed,101,Medium,26:26.8,10902,,101,0,,,26:26.8,,NULL,20901,,LATITUDE E6420,,DN5D5R1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
14534,Deployed,101,Medium,28:15.5,14434,,101,0,,,28:15.5,,NULL,43441,,OPTIPLEX 9030 AIO,,DN5KTX1,Dell,Microsoft Windows 7 Enterprise,FALSE,,TAY550M-18,,FALSE,NULL,00:00.0,,,NULL
14125,Deployed,101,Medium,28:00.9,14025,,101,0,,,28:00.9,,NULL,52041,,PRECISION T7610,,DN6TY12,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
12962,Deployed,101,Medium,27:22.5,12862,,101,0,,,27:22.5,,NULL,26821,,LATITUDE E6430,,DN7YKX1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
15222,Deployed,101,Medium,28:33.6,15122,,101,0,,,28:33.6,,NULL,22151,,LATITUDE 3550,,DN8WY32,Dell,Microsoft Windows 10 Enterprise,FALSE,,LIB-3550-23,,FALSE,NULL,00:00.0,,,NULL
13505,Deployed,101,Medium,27:36.9,13405,,101,0,,,27:36.9,,NULL,50431,,OPTIPLEX 9020,,DNCKDZ1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
13506,Deployed,101,Medium,27:36.9,13406,,101,0,,,27:36.9,,NULL,60431,,OPTIPLEX 9020,,DNCLDZ1,Dell,Microsoft Windows 7 Enterprise,FALSE,,ECERCHOIPC01,,FALSE,NULL,00:00.0,,,NULL
10623,Deployed,101,Medium,26:16.5,10523,,101,0,,,26:16.5,,NULL,32501,,LATITUDE E6420,,DNM35R1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
6686,Deployed,41301,Medium,01:09.4,6586,,41301,6686,,,01:09.4,,NULL,6856,,,,DNMYNH2,,,FALSE,CBENJAMIN,,,FALSE,NULL,NULL,,NULL,NULL
17376,Deployed,101,Medium,29:56.7,17276,,101,0,,,29:56.7,,NULL,67271,,LATITUDE 5480,,DNMYNH2,Dell,Microsoft Windows 10 Enterprise,FALSE,,CBENJAMIN-5480,,FALSE,NULL,00:00.0,,,NULL
10601,Deployed,101,Medium,26:16.4,10501,,101,0,,,26:16.4,,NULL,10501,,LATITUDE E6420,,DNN35R1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
9327,Deployed,101,Medium,25:41.8,9227,,101,0,,,25:41.8,,NULL,7229,,LATITUDE 2120,,DNRPYP1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
12233,Deployed,101,Medium,27:04.1,12133,,101,0,,,27:04.1,,NULL,33121,,OPTIPLEX 990,,DNTMVV1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
12231,Deployed,101,Medium,27:04.1,12131,,101,0,,,27:04.1,,NULL,13121,,OPTIPLEX 990,,DNVJVV1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
12232,Deployed,101,Medium,27:04.1,12132,,101,0,,,27:04.1,,NULL,23121,,OPTIPLEX 990,,DNVMVV1,Dell,Microsoft Windows 7 Enterprise,FALSE,,OFFICE03,,FALSE,NULL,00:00.0,,,NULL
18150,Deployed,101,Medium,30:29.4,18050,,101,0,,,30:29.4,,NULL,5081,,LATITUDE 5490,,DNW0TQ2,Dell,Microsoft Windows 10 Enterprise,FALSE,,LAWIT-5490-01,,FALSE,NULL,00:00.0,,,NULL
18205,Deployed,101,Medium,30:29.5,18105,,101,0,,,30:29.5,,NULL,50181,,LATITUDE 5490,,DNXTJR2,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
16290,Deployed,101,Medium,29:07.3,16190,,101,0,,,29:07.3,,NULL,9161,,LATITUDE E5470,,DPBFVF2,Dell,Microsoft Windows 10 Enterprise,FALSE,,SD51-E5470,,FALSE,NULL,00:00.0,,,NULL
10602,Deployed,101,Medium,26:16.4,10502,,101,0,,,26:16.4,,NULL,20501,,LATITUDE E6420,,DPCX4R1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
13312,Deployed,101,Medium,27:30.8,13212,,101,0,,,27:30.8,,NULL,21231,,OPTIPLEX 9020,,DPKKBY1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
10470,Deployed,101,Medium,26:13.8,10370,,101,0,,,26:13.8,,NULL,7301,,LATITUDE E6420,,DPQ15R1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
9328,Deployed,101,Medium,25:44.1,9228,,101,0,,,25:44.1,,NULL,8229,,LATITUDE 2120,,DPRPYP1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
18206,Deployed,101,Medium,30:29.5,18106,,101,0,,,30:29.5,,NULL,60181,,LATITUDE 5490,,DPXTJR2,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
18175,Deployed,101,Medium,30:29.5,18075,,101,0,,,30:29.5,,NULL,57081,,PRECISION 7820,,DPY0MR2,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
9188,Deployed,101,Medium,25:39.4,9088,,101,0,,,25:39.4,,NULL,8809,,OPTIPLEX 980,,DPYPBP1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
11972,Deployed,101,Medium,26:54.1,11872,,101,0,,,26:54.1,,NULL,27811,,LATITUDE E6420,,DQ5TDV1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
13600,Deployed,101,Medium,27:39.4,13500,,101,0,,,27:39.4,,NULL,531,,OPTIPLEX 9020,,DQ9YH02,Dell,Microsoft Windows 10 Enterprise,FALSE,,RPTERRY-9020,,FALSE,NULL,00:00.0,,,NULL
16291,Deployed,101,Medium,29:07.3,16191,,101,0,,,29:07.3,,NULL,19161,,LATITUDE E5470,,DQBFVF2,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
13298,Deployed,101,Medium,27:30.7,13198,,101,0,,,27:30.7,,NULL,89131,,OPTIPLEX 9010,,DQGZ9Y1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
19198,Deployed,57710,,05:54.5,19098,,57710,0,,default_ci.png,05:54.5,,NULL,89091,233,Latitude 5490,,DQH11Z2,Dell,Windows 10,FALSE,winifre,winifre-5490-2,,FALSE,NULL,NULL,Department,SFIS; InfoCision Stadium Summa Field,FALSE
13238,Deployed,101,Medium,27:30.6,13138,,101,0,,,27:30.6,,NULL,83131,,LATITUDE E6430,,DQLZMX1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
10624,Deployed,101,Medium,26:16.5,10524,,101,0,,,26:16.5,,NULL,42501,,LATITUDE E6420,,DQM35R1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
10374,Deployed,101,Medium,26:11.3,10274,,101,0,,,26:11.3,,NULL,47201,,LATITUDE E6420,,DQN15R1,Dell,Microsoft Windows 10 Enterprise,FALSE,,SMB21-E6420,,FALSE,NULL,00:00.0,,,NULL
10731,Deployed,101,Medium,26:21.4,10631,,101,0,,,26:21.4,,NULL,13601,,LATITUDE E6420,,DQN35R1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
10497,Deployed,101,Medium,26:13.9,10397,,101,0,,,26:13.9,,NULL,79301,,LATITUDE E6420,,DQP15R1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
9339,Deployed,101,Medium,25:44.2,9239,,101,0,,,25:44.2,,NULL,9329,,LATITUDE 2120,,DQRPYP1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
17079,Deployed,101,Medium,29:40.6,16979,,101,0,,,29:40.6,,NULL,97961,,LATITUDE 5480,,DQX6GH2,Dell,Microsoft Windows 10 Enterprise,FALSE,,DOTT-5480,,FALSE,NULL,00:00.0,,,NULL
16292,Deployed,101,Medium,29:07.3,16192,,101,0,,,29:07.3,,NULL,29161,,LATITUDE E5470,,DRBFVF2,Dell,Microsoft Windows 7 Enterprise,FALSE,,MEERA-E5470,,FALSE,NULL,00:00.0,,,NULL
13307,Deployed,101,Medium,27:30.8,13207,,101,0,,,27:30.8,,NULL,70231,,OPTIPLEX 9010,,DRFGBY1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
